jis_s,old_zip_code_s,zip_code_s,province_ruby_txt_ja,city_ruby_txt_ja,town_ruby_txt_ja,province_txt_ja,city_txt_ja,town_txt_ja
13103,"107  ",1076033,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(33カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３３階）
13103,"107  ",1076034,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(34カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３４階）
13103,"107  ",1076035,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(35カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３５階）
13103,"107  ",1076036,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(36カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３６階）
13103,"107  ",1076037,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(37カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３７階）
13103,"107  ",1076190,トウキョウト,ミナトク,アカサカアカサカパークビル(チカイ・カイソウフメイ),東京都,港区,赤坂赤坂パークビル（地階・階層不明）
13103,"107  ",1076101,トウキョウト,ミナトク,アカサカアカサカパークビル(1カイ),東京都,港区,赤坂赤坂パークビル（１階）
13103,"107  ",1076102,トウキョウト,ミナトク,アカサカアカサカパークビル(2カイ),東京都,港区,赤坂赤坂パークビル（２階）
13103,"107  ",1076103,トウキョウト,ミナトク,アカサカアカサカパークビル(3カイ),東京都,港区,赤坂赤坂パークビル（３階）
13103,"107  ",1076104,トウキョウト,ミナトク,アカサカアカサカパークビル(4カイ),東京都,港区,赤坂赤坂パークビル（４階）
13103,"107  ",1076105,トウキョウト,ミナトク,アカサカアカサカパークビル(5カイ),東京都,港区,赤坂赤坂パークビル（５階）
13103,"107  ",1076106,トウキョウト,ミナトク,アカサカアカサカパークビル(6カイ),東京都,港区,赤坂赤坂パークビル（６階）
13103,"107  ",1076107,トウキョウト,ミナトク,アカサカアカサカパークビル(7カイ),東京都,港区,赤坂赤坂パークビル（７階）
13103,"107  ",1076108,トウキョウト,ミナトク,アカサカアカサカパークビル(8カイ),東京都,港区,赤坂赤坂パークビル（８階）
13103,"107  ",1076109,トウキョウト,ミナトク,アカサカアカサカパークビル(9カイ),東京都,港区,赤坂赤坂パークビル（９階）
13103,"107  ",1076110,トウキョウト,ミナトク,アカサカアカサカパークビル(10カイ),東京都,港区,赤坂赤坂パークビル（１０階）
13103,"107  ",1076111,トウキョウト,ミナトク,アカサカアカサカパークビル(11カイ),東京都,港区,赤坂赤坂パークビル（１１階）
13103,"107  ",1076112,トウキョウト,ミナトク,アカサカアカサカパークビル(12カイ),東京都,港区,赤坂赤坂パークビル（１２階）
13103,"107  ",1076113,トウキョウト,ミナトク,アカサカアカサカパークビル(13カイ),東京都,港区,赤坂赤坂パークビル（１３階）
13103,"107  ",1076114,トウキョウト,ミナトク,アカサカアカサカパークビル(14カイ),東京都,港区,赤坂赤坂パークビル（１４階）
13103,"107  ",1076115,トウキョウト,ミナトク,アカサカアカサカパークビル(15カイ),東京都,港区,赤坂赤坂パークビル（１５階）
13103,"107  ",1076116,トウキョウト,ミナトク,アカサカアカサカパークビル(16カイ),東京都,港区,赤坂赤坂パークビル（１６階）
13103,"107  ",1076117,トウキョウト,ミナトク,アカサカアカサカパークビル(17カイ),東京都,港区,赤坂赤坂パークビル（１７階）
13103,"107  ",1076118,トウキョウト,ミナトク,アカサカアカサカパークビル(18カイ),東京都,港区,赤坂赤坂パークビル（１８階）
13103,"107  ",1076119,トウキョウト,ミナトク,アカサカアカサカパークビル(19カイ),東京都,港区,赤坂赤坂パークビル（１９階）
13103,"107  ",1076120,トウキョウト,ミナトク,アカサカアカサカパークビル(20カイ),東京都,港区,赤坂赤坂パークビル（２０階）
13103,"107  ",1076121,トウキョウト,ミナトク,アカサカアカサカパークビル(21カイ),東京都,港区,赤坂赤坂パークビル（２１階）
13103,"107  ",1076122,トウキョウト,ミナトク,アカサカアカサカパークビル(22カイ),東京都,港区,赤坂赤坂パークビル（２２階）
13103,"107  ",1076123,トウキョウト,ミナトク,アカサカアカサカパークビル(23カイ),東京都,港区,赤坂赤坂パークビル（２３階）
13103,"107  ",1076124,トウキョウト,ミナトク,アカサカアカサカパークビル(24カイ),東京都,港区,赤坂赤坂パークビル（２４階）
13103,"107  ",1076125,トウキョウト,ミナトク,アカサカアカサカパークビル(25カイ),東京都,港区,赤坂赤坂パークビル（２５階）
13103,"107  ",1076126,トウキョウト,ミナトク,アカサカアカサカパークビル(26カイ),東京都,港区,赤坂赤坂パークビル（２６階）
13103,"107  ",1076127,トウキョウト,ミナトク,アカサカアカサカパークビル(27カイ),東京都,港区,赤坂赤坂パークビル（２７階）
13103,"107  ",1076128,トウキョウト,ミナトク,アカサカアカサカパークビル(28カイ),東京都,港区,赤坂赤坂パークビル（２８階）
13103,"107  ",1076129,トウキョウト,ミナトク,アカサカアカサカパークビル(29カイ),東京都,港区,赤坂赤坂パークビル（２９階）
